127.0.0.1 - - [09/May/2022:20:59:31 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/May/2022:20:59:39 +0700] "GET /DoAn/ HTTP/1.1" 500 14316
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:37 +0700] "GET /DoAn/ HTTP/1.1" 200 24507
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/css/price-range.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/ico/apple-touch-icon-144-precomposed.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/js/jquery.scrollUp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/js/price-range.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/product/02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/home/pricing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/product/03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/product/05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/product/04.jpg HTTP/1.1" 200 38776
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/product/06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/product/07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/footer/f04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/images/home/shipping.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/footer/f03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/home/searchicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/footer/f02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:38 +0700] "GET /DoAn/assets/user/images/footer/f01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:39 +0700] "GET /DoAn/assets/user/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:21:03:40 +0700] "GET /DoAn/images/ico/favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/May/2022:21:19:40 +0700] "GET /DoAn/ HTTP/1.1" 200 24507
0:0:0:0:0:0:0:1 - - [09/May/2022:21:19:40 +0700] "GET /DoAn/assets/user/images/ico/apple-touch-icon-144-precomposed.png HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/May/2022:21:19:40 +0700] "GET /DoAn/images/home/shipping.jpg HTTP/1.1" 404 1047
